type,title,date,authors,pages,publisher,citations,journal
Book,Unique Title 1,08/09/2003,Diana Wang;Charlie Lee;Fiona Davis,759,O'Reilly,NA,NA
Book,Unique Title 2,29/06/2000,Ethan Brown;Charlie Lee,961,Penguin,NA,NA
Book,Unique Title 3,06/06/2012,Ethan Brown;Diana Wang,801,Simon & Schuster,NA,NA
Article,Unique Title 4,21/01/2019,Bob Johnson;Charlie Lee,NA,NA,23,Science
Book,Unique Title 5,24/07/2012,Fiona Davis;Charlie Lee;Bob Johnson,783,Pearson,NA,NA
Article,Unique Title 6,19/06/2000,Diana Wang,NA,NA,279,Science
Book,Unique Title 7,09/10/2022,Diana Wang;Fiona Davis;Ethan Brown,483,Pearson,NA,NA
Book,Unique Title 8,08/09/2007,Charlie Lee;Alice Smith,426,Pearson,NA,NA
Article,Unique Title 9,05/03/2001,Bob Johnson;Diana Wang,NA,NA,53,Science
Article,Unique Title 10,16/12/2016,Charlie Lee,NA,NA,54,Lancet
Article,Unique Title 11,20/05/2016,Bob Johnson;Charlie Lee;Ethan Brown,NA,NA,102,ACM Computing Surveys
Book,Unique Title 12,30/09/2019,Diana Wang,722,O'Reilly,NA,NA
Book,Unique Title 13,23/07/2006,Fiona Davis;Bob Johnson;Diana Wang,865,Penguin,NA,NA
Book,Unique Title 14,21/07/2011,Ethan Brown;Bob Johnson,476,HarperCollins,NA,NA
Book,Unique Title 15,07/02/2023,Alice Smith;Bob Johnson,320,Penguin,NA,NA
Article,Unique Title 16,18/02/2016,Fiona Davis,NA,NA,328,Science
Article,Unique Title 17,25/09/2014,Charlie Lee;Ethan Brown,NA,NA,109,Science
Book,Unique Title 18,13/01/2005,Ethan Brown,957,Simon & Schuster,NA,NA
Book,Unique Title 19,16/12/2012,Bob Johnson;Alice Smith;Charlie Lee,479,Springer,NA,NA
Book,Unique Title 20,03/12/2024,Fiona Davis;Charlie Lee,367,Simon & Schuster,NA,NA
Article,Unique Title 21,15/04/2016,Charlie Lee,NA,NA,22,Lancet
Book,Unique Title 22,12/08/2006,Alice Smith;Charlie Lee,617,Simon & Schuster,NA,NA
Book,Unique Title 23,29/04/2016,Bob Johnson;Charlie Lee;Fiona Davis,898,Springer,NA,NA
Book,Unique Title 24,06/11/2016,Alice Smith;Bob Johnson,405,Springer,NA,NA
